date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2001-01-01 00:00:00,7.2,0.6,8.4,0.2,,,24,,982.8,
2001-01-02 00:00:00,7.6,6.2,8.1,10,,,17.9,,979.1,
2001-01-03 00:00:00,4.8,1.3,7.7,2.4,,,21.8,,992.4,
2001-01-04 00:00:00,6.5,1.7,6.6,0,,,13.9,,987,
2001-01-05 00:00:00,2.8,1.4,7.7,0.2,,,7.2,,986.2,
2001-01-06 00:00:00,4.4,0.5,7.4,2,,,16.7,,994.8,
2001-01-07 00:00:00,5.2,2.8,7.2,4.8,,,20,,1003.7,
2001-01-08 00:00:00,5.2,4,4.6,1.8,,,10.1,,1011.6,
2001-01-09 00:00:00,2,-0.3,5.8,0.2,,,6.5,,1013.7,
2001-01-10 00:00:00,3.9,0.3,5.8,0,,,20.8,,1015.6,
2001-01-11 00:00:00,4.1,2.9,6.6,0,,,32.2,,1024.9,
2001-01-12 00:00:00,4.9,3.6,7.9,0,,,24.2,,1029.7,
2001-01-13 00:00:00,3.3,1.1,5.6,0,,,12.1,,1034.6,
2001-01-14 00:00:00,2.7,0.2,4.1,0,,,13,,1036.6,
2001-01-15 00:00:00,1.9,0.9,1.4,0,,,15.5,,1026.5,
2001-01-16 00:00:00,-1.2,-3.8,4.6,0,,,7.3,,1023.4,
2001-01-17 00:00:00,-0.8,-5.3,1,0,,,6.1,,1020.6,
2001-01-18 00:00:00,-0.5,-3.4,1.7,0,,,4.1,,1019.9,
2001-01-19 00:00:00,-0.6,-4.3,3.1,0,,,5.4,,1021.9,
2001-01-20 00:00:00,0.6,-2,4.5,0.2,,,6.3,,1024.3,
2001-01-21 00:00:00,1.6,-0.9,8.3,0.6,,,17.5,,1013.2,
2001-01-22 00:00:00,5.4,1.1,10.3,7,,,23.4,,996,
2001-01-23 00:00:00,7.1,4.1,8.5,14.2,,,26.7,,981.8,
2001-01-24 00:00:00,6.6,5.6,6.7,0.6,,,24.1,,984.3,
2001-01-25 00:00:00,4.7,2.8,6.3,1.8,,,23.6,,991.8,
2001-01-26 00:00:00,3.9,2.6,7.2,2,,,17.5,,991.4,
2001-01-27 00:00:00,3.6,0.8,3.2,0,,,13.2,,996.2,
2001-01-28 00:00:00,0.7,-2.2,3.7,0.2,,,4.2,,1006.6,
2001-01-29 00:00:00,1.8,-0.4,5.2,0.2,,,6.1,,1019.4,
2001-01-30 00:00:00,3.9,1,5.3,3,,,12.4,,1017.3,
