date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010-01-01 00:00:00,-1.3,,,,,,6,,,
2010-01-02 00:00:00,-0.3,,,,,,9.2,,,
2010-01-03 00:00:00,-2.1,-7,1,,,,8.6,,,
2010-01-04 00:00:00,-3.8,,,,,,3,,,
2010-01-05 00:00:00,-0.4,-1,0,,,,11,,,
2010-01-06 00:00:00,-1.6,,,,,,15.4,,,
2010-01-07 00:00:00,-11.2,-15,-6,,,,0.8,,,
2010-01-08 00:00:00,-6.8,,,,,,4.3,,,
2010-01-09 00:00:00,-2.2,-6,0,,,,16.7,,,
2010-01-10 00:00:00,1.2,,,,,,23,,,
2010-01-11 00:00:00,1.3,1,2,,,,11.6,,,
2010-01-12 00:00:00,1.4,1,2,,,,21.7,,,
2010-01-13 00:00:00,0.2,,,,,,12.2,,,
2010-01-14 00:00:00,0.7,-3,3,,,,5.6,,,
2010-01-15 00:00:00,3.2,,,,,,19.2,,,
2010-01-16 00:00:00,5.3,,,,,,20.8,,,
2010-01-17 00:00:00,3.6,,,,,,12,,,
2010-01-18 00:00:00,6.1,,,,,,9.8,,,
2010-01-19 00:00:00,5.4,4,7,,,,13.5,,,
2010-01-20 00:00:00,3.8,,,,,,18.4,,,
2010-01-21 00:00:00,3.8,2,5,,,,15.2,,,
2010-01-22 00:00:00,6.9,,,,,,14.2,,,
2010-01-23 00:00:00,2.9,,,,,,6,,,
2010-01-24 00:00:00,3.1,,,,,,7.1,,,
2010-01-25 00:00:00,2.5,2,3,,,,11.4,,,
2010-01-26 00:00:00,2,,,,,,4.9,,,
2010-01-27 00:00:00,4,1,8,,,,17.5,,,
2010-01-28 00:00:00,4.4,,,,,,14.7,,,
2010-01-29 00:00:00,2.5,,,,,,17.2,,,
2010-01-30 00:00:00,-0.5,-4,3,,,,11.4,,,
2010-01-31 00:00:00,-0.6,,,,,,7.1,,,
2010-02-01 00:00:00,0.5,,,,,,9.2,,,
2010-02-02 00:00:00,3.9,,,,,,15.4,,,
2010-02-03 00:00:00,-0.4,,,,,,4.9,,,
2010-02-04 00:00:00,5.6,,,,,,16.3,,,
2010-02-05 00:00:00,5.8,,,,,,12.2,,,
2010-02-06 00:00:00,3.1,,,,,,8,,,
2010-02-07 00:00:00,3,,,,,,7,,,
2010-02-08 00:00:00,2,,,,,,17.7,,,
2010-02-09 00:00:00,,,,,,,,,,
2010-02-10 00:00:00,0.8,,,,,,15.2,,,
2010-02-11 00:00:00,0.7,,,,,,9.5,,,
2010-02-12 00:00:00,2.9,,,,,,12,,,
2010-02-13 00:00:00,3.1,,,,,,10.7,,,
2010-02-14 00:00:00,2.6,-2,6,,,,5.3,,,
2010-02-15 00:00:00,3.6,,,,,,8.6,,,
2010-02-16 00:00:00,2.2,-2,6,,,,8,,,
2010-02-17 00:00:00,-0.7,-5,3,,,,7.4,,,
2010-02-18 00:00:00,1.9,,,,,,6.5,,,
2010-02-19 00:00:00,,,,,,,,,,
2010-02-20 00:00:00,0.3,,,,,,4.1,,,
2010-02-21 00:00:00,0.8,,,,,,7.8,,,
